20.05.2020 12:58:45.543 [restartedMain] INFO   o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
20.05.2020 12:58:45.543 [restartedMain] INFO   o.a.c.c.StandardService - Starting service [Tomcat]
20.05.2020 12:58:45.543 [restartedMain] INFO   o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.30]
20.05.2020 12:58:45.592 [restartedMain] INFO   o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
20.05.2020 12:58:45.593 [restartedMain] INFO   o.s.w.c.ContextLoader - Root WebApplicationContext: initialization completed in 1373 ms
20.05.2020 12:58:45.707 [restartedMain] INFO   o.f.c.i.l.VersionPrinter - Flyway Community Edition 6.2.4 by Redgate
20.05.2020 12:58:45.709 [restartedMain] INFO   c.z.h.HikariDataSource - HikariPool-1 - Starting...
20.05.2020 12:58:45.841 [restartedMain] INFO   c.z.h.HikariDataSource - HikariPool-1 - Start completed.
20.05.2020 12:58:45.848 [restartedMain] INFO   o.f.c.i.d.DatabaseFactory - Database: jdbc:postgresql://localhost:5432/iac5 (PostgreSQL 12.1)
20.05.2020 12:58:45.864 [restartedMain] INFO   o.f.c.i.c.DbValidate - Successfully validated 5 migrations (execution time 00:00.008s)
20.05.2020 12:58:45.867 [restartedMain] INFO   o.f.c.i.c.DbMigrate - Current version of schema "public": 5
20.05.2020 12:58:45.868 [restartedMain] INFO   o.f.c.i.c.DbMigrate - Schema "public" is up to date. No migration necessary.
20.05.2020 12:58:45.979 [restartedMain] INFO   o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
20.05.2020 12:58:46.008 [restartedMain] INFO   o.hibernate.Version - HHH000412: Hibernate Core {5.4.10.Final}
20.05.2020 12:58:46.060 [restartedMain] INFO   o.h.a.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
20.05.2020 12:58:46.106 [restartedMain] INFO   o.h.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
20.05.2020 12:58:46.592 [restartedMain] INFO   o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
20.05.2020 12:58:46.595 [restartedMain] INFO   o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
20.05.2020 12:58:46.633 [restartedMain] INFO   o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
20.05.2020 12:58:47.719 [restartedMain] INFO   o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
20.05.2020 12:58:47.815 [restartedMain] INFO   o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
20.05.2020 12:58:48.176 [restartedMain] INFO   o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
20.05.2020 12:58:48.186 [restartedMain] INFO   o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
20.05.2020 12:58:48.189 [restartedMain] INFO   r.i.A.AsGihdTorisApplication - Started AsGihdTorisApplication in 4.157 seconds (JVM running for 4.636)
20.05.2020 18:11:45.519 [SpringContextShutdownHook] INFO   o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
20.05.2020 18:11:45.523 [SpringContextShutdownHook] INFO   o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
20.05.2020 18:11:45.525 [SpringContextShutdownHook] INFO   c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
20.05.2020 18:11:45.530 [SpringContextShutdownHook] INFO   c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
20.05.2020 18:12:05.639 [restartedMain] INFO   r.i.A.AsGihdTorisApplication - Starting AsGihdTorisApplication on kinteg-MS-7B45 with PID 800 (/home/kinteg/work/AS-GIHD-TORIS/build/classes/java/main started by kinteg in /home/kinteg/work/AS-GIHD-TORIS)
20.05.2020 18:12:05.641 [restartedMain] INFO   r.i.A.AsGihdTorisApplication - The following profiles are active: dev
